coordinate_station_id,coordinate_station_name,normalized_station_name,line,latitude,longitude,api_station_id,external_code,source
2523,양평,양평,5,37.525614,126.886177,2523,522,seoul_openapi
2522,오목교,오목교,5,37.524557,126.875049,2522,521,seoul_openapi
2521,목동,목동,5,37.526088,126.864296,2521,520,seoul_openapi
2541,왕십리,왕십리,5,37.56197,127.037264,2541,540,seoul_openapi
2560,거여,거여,5,37.493208,127.143983,2560,P554,seoul_openapi
2513,김포공항,김포공항,5,37.56217,126.801273,2513,512,seoul_openapi
2514,송정,송정,5,37.561411,126.812052,2514,513,seoul_openapi
2551,굽은다리,굽은다리,5,37.545442,127.142844,2551,550,seoul_openapi
2552,명일,명일,5,37.551317,127.144002,2552,551,seoul_openapi
2553,고덕,고덕,5,37.555002,127.154214,2553,552,seoul_openapi
2550,길동,길동,5,37.538022,127.140085,2550,549,seoul_openapi
2548,천호,천호,5,37.538566,127.123539,2548,547,seoul_openapi
2543,답십리,답십리,5,37.566833,127.05266,2543,542,seoul_openapi
2547,광나루,광나루,5,37.545301,127.103478,2547,546,seoul_openapi
2554,상일동,상일동,5,37.556714,127.166381,2554,553,seoul_openapi
2542,마장,마장,5,37.566066,127.042921,2542,541,seoul_openapi
2539,신금호,신금호,5,37.554504,127.020403,2539,538,seoul_openapi
2561,마천,마천,5,37.494972,127.152784,2561,P555,seoul_openapi
2562,강일,강일,5,37.557521,127.176018,2562,554,seoul_openapi
2566,하남검단산,하남검단산,5,37.539729,127.223427,2566,558,seoul_openapi
2515,마곡,마곡,5,37.562182,126.82693,2515,514,seoul_openapi
2516,발산,발산,5,37.562182,126.82693,2516,515,seoul_openapi
2517,우장산,우장산,5,37.548864,126.83633,2517,516,seoul_openapi
2519,까치산,까치산,5,37.53181,126.846706,2519,518,seoul_openapi
2520,신정,신정,5,37.525001,126.856176,2520,519,seoul_openapi
2526,신길,신길,5,37.51763,126.914886,2526,525,seoul_openapi
2536,을지로4가,을지로4가,5,37.56658,126.998127,2536,535,seoul_openapi
2538,청구,청구,5,37.560237,127.01379,2538,537,seoul_openapi
2537,동대문역사문화공원,동대문역사문화공원,5,37.564682,127.00533,2537,536,seoul_openapi
2534,광화문,광화문,5,37.570545,126.976568,2534,533,seoul_openapi
2533,서대문,서대문,5,37.565812,126.966639,2533,532,seoul_openapi
2532,충정로,충정로,5,37.560061,126.962783,2532,531,seoul_openapi
2531,애오개,애오개,5,37.553592,126.956733,2531,530,seoul_openapi
2530,공덕,공덕,5,37.544005,126.951058,2530,529,seoul_openapi
2549,강동,강동,5,37.53581,127.13249,2549,548,seoul_openapi
2535,종로3가,종로3가,5,37.572546,126.990447,2535,534,seoul_openapi
2529,마포,마포,5,37.539718,126.946043,2529,528,seoul_openapi
2527,여의도,여의도,5,37.521578,126.924318,2527,526,seoul_openapi
2525,영등포시장,영등포시장,5,37.52276,126.905143,2525,524,seoul_openapi
2524,영등포구청,영등포구청,5,37.524209,126.895022,2524,523,seoul_openapi
2511,방화,방화,5,37.577669,126.812822,2511,510,seoul_openapi
2544,장한평,장한평,5,37.561438,127.064601,2544,543,seoul_openapi
2518,화곡,화곡,5,37.541585,126.840436,2518,517,seoul_openapi
2540,행당,행당,5,37.557297,127.029482,2540,539,seoul_openapi
2559,개롱,개롱,5,37.498097,127.134817,2559,P553,seoul_openapi
2558,오금,오금,5,37.502228,127.127701,2558,P552,seoul_openapi
2528,여의나루,여의나루,5,37.527145,126.932807,2528,527,seoul_openapi
2565,하남시청,하남시청,5,37.541723,127.206901,2565,557,seoul_openapi
2564,하남풍산,하남풍산,5,37.552201,127.203897,2564,556,seoul_openapi
2563,미사,미사,5,37.56329,127.192954,2563,555,seoul_openapi
2557,방이,방이,5,37.508752,127.126054,2557,P551,seoul_openapi
2621,월드컵경기장,월드컵경기장,6,37.569439,126.899077,2620,619,seoul_openapi
2611,응암,응암,6,37.59859,126.915583,2611,610,seoul_openapi
2624,합정,합정,6,37.549033,126.913546,2623,622,seoul_openapi
2613,불광,불광,6,37.610919,126.929504,2613,612,seoul_openapi
2614,독바위,독바위,6,37.618413,126.933035,2614,613,seoul_openapi
2618,새절,새절,6,37.591148,126.913613,2617,616,seoul_openapi
2619,증산,증산,6,37.583989,126.909785,2618,617,seoul_openapi
2620,디지털미디어시티,디지털미디어시티,6,37.577005,126.898643,2619,618,seoul_openapi
2623,망원,망원,6,37.556031,126.910129,2622,621,seoul_openapi
2625,상수,상수,6,37.547704,126.92292,2624,623,seoul_openapi
