opr_ymd,stop_id,stop_name,sttn_ars_no,city_code,sgg_cd,emd_cd,ctpv_nm,sgg_nm,emd_nm,latitude,longitude,source,coordinate_status,match_type,region_code_used
20250801,00001073,원광대한방병원,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001075,원광대한방병원,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001094,월드컵경기장,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001095,월드컵경기장,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001114,월암,~,29,29140,2914013100,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001121,유덕초교,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001126,극락초교,~,29,29140,2914011600,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001127,극락초교,~,29,29140,2914011600,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001181,잿등,~,29,29140,2914012100,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001182,잿등,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001238,마재종원아파트,~,29,29140,2914013000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001239,마재종원아파트,~,29,29140,2914013000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001241,전남고입구,~,29,29140,2914013100,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001242,염주체육관,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001243,염주체육관,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001264,주월초교,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001265,주월초교,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001266,금호모아아파트,~,29,29140,2914013000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001267,금호모아아파트,~,29,29140,2914013000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001272,동천마을3단지,~,29,29140,2914013300,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001293,쌍촌시영아파트,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001294,풍암모아아파트,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001295,쌍촌시영아파트,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001301,농성1동행정복지센터,~,29,29140,2914010600,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001302,상무중흥아파트,~,29,29140,2914012000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001303,상무중흥아파트,~,29,29140,2914012000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001322,진성아파트,~,29,29140,2914012100,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001323,진성아파트,~,29,29140,2914012100,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001373,칠성마을,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001374,광천동,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001375,광천동,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001376,칠성마을,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001413,마재우체국,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001414,마재우체국,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001416,풍암저수지,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001417,풍암저수지,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001438,한국병원,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001439,한국병원,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001442,금호한국아파트,~,29,29140,2914013000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001443,금호한국아파트,~,29,29140,2914013000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001444,풍암한국아파트,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001447,풍암한국아파트,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001449,계수초교,~,29,29140,2914012000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001450,계수초교,~,29,29140,2914012000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001469,해태아파트,~,29,29140,2914012100,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001470,해태아파트,~,29,29140,2914012100,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001484,화정현대아파트,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001485,쌍촌현대아파트,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001486,쌍촌현대아파트,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001487,화정현대아파트,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001491,서광주세무서,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001493,서광주세무서,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001497,상무호반3차,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001504,광주중,~,29,29140,2914013000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001506,광주중,~,29,29140,2914013000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001542,염주사거리(서),~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001543,화정남초교,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001544,화정남초교,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001545,화정역,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001546,화정역,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001549,화정사거리,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001550,화정사거리,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001551,유니버시아드힐스테이트,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001552,유니버시아드힐스테이트,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001553,화정중,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001554,화정중,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001556,화정중흥파크,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001557,화정중흥파크,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001561,광주학생독립운동기념관,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001571,CBS방송국,~,29,29140,2914013000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001572,CBS방송국,~,29,29140,2914013000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001573,5.18기념공원,~,29,29140,2914012000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001574,5.18기념공원,~,29,29140,2914012000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001579,김대중컨벤션센터(마륵)역,~,29,29140,2914013100,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001583,월암,~,29,29140,2914013100,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001716,서창사거리,~,29,29140,2914012900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001717,서창농협벽진지점,~,29,29140,2914012900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001718,마산(서창),~,29,29140,2914012900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001719,동하,~,29,29140,2914012600,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001720,서창동행정복지센터,~,29,29140,2914012600,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001723,매월동(북),~,29,29140,2914013200,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001724,대동고,~,29,29140,2914013200,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001726,서부자동차매매단지,~,29,29140,2914013200,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001727,종합유통단지,~,29,29140,2914013200,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001729,서부농수산물도매시장,~,29,29140,2914013200,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001732,공구단지,~,29,29140,2914013200,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001734,운리마을,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001735,동명회.송원고,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001755,동명회.송원고,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001756,운리마을,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001758,공구단지,~,29,29140,2914013200,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001759,화훼단지,~,29,29140,2914013200,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001760,대동고,~,29,29140,2914013200,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001762,절골입구(서),~,29,29140,2914012600,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001763,중촌,~,29,29140,2914012500,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001764,서창치안센터,~,29,29140,2914012500,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001765,용두입구,~,29,29140,2914012700,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001797,구룡(대촌),~,29,29140,2914012700,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001798,신용,~,29,29140,2914012700,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001799,봉학,~,29,29140,2914012700,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00001802,서창농협벽진지점,~,29,29140,2914012900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00002180,마산(서창),~,29,29140,2914012900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00002181,동하,~,29,29140,2914012600,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00002182,서창동행정복지센터,~,29,29140,2914012600,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00002185,매월동(북),~,29,29140,2914013200,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00002186,서부자동차매매단지,~,29,29140,2914013200,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00002187,종합유통단지,~,29,29140,2914013200,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00002188,서부농수산물도매시장,~,29,29140,2914013200,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
