station_id,station_name,normalized_station_name,line,latitude,longitude,source
319,종로3가,종로3가,3,37.571537,126.991237,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
320,을지로3가,을지로3가,3,37.566299,126.992616,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
321,충무로,충무로,3,37.561302,126.995473,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
322,동대입구,동대입구,3,37.55816,127.005273,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
323,약수,약수,3,37.554674,127.010628,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
324,금호,금호,3,37.548269,127.015785,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
325,옥수,옥수,3,37.541653,127.017303,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
326,압구정,압구정,3,37.526169,127.028502,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
327,신사,신사,3,37.516438,127.020247,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
328,잠원,잠원,3,37.512989,127.011613,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
329,고속터미널,고속터미널,3,37.504953,127.004916,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
330,교대,교대,3,37.49306,127.013796,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
331,남부터미널,남부터미널,3,37.48494,127.016289,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
332,양재,양재,3,37.48466,127.03513,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
333,매봉,매봉,3,37.487114,127.046907,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
334,도곡,도곡,3,37.491129,127.055694,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
335,대치,대치,3,37.494601,127.063449,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
336,학여울,학여울,3,37.496757,127.070541,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
337,대청,대청,3,37.493607,127.079526,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
338,일원,일원,3,37.48389,127.08416,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
339,수서,수서,3,37.487507,127.101324,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
340,가락시장,가락시장,3,37.492368,127.118101,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
341,경찰병원,경찰병원,3,37.495754,127.124198,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
342,오금,오금,3,37.502288,127.128344,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
409,당고개,당고개,4,37.66956,127.078404,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
410,상계,상계,4,37.660576,127.073199,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
411,노원,노원,4,37.656274,127.063183,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
412,창동,창동,4,37.652993,127.046746,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
413,쌍문,쌍문,4,37.648274,127.034381,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
414,수유,수유,4,37.637127,127.024731,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
415,미아,미아,4,37.626435,127.026151,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
416,미아사거리,미아사거리,4,37.613276,127.030083,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
417,길음,길음,4,37.604087,127.025353,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
418,성신여대입구,성신여대입구,4,37.592782,127.017338,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
419,한성대입구,한성대입구,4,37.58838,127.006751,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
420,혜화,혜화,4,37.582116,127.001759,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
421,동대문,동대문,4,37.5708397,127.009403,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
422,동대문역사문화공원,동대문역사문화공원,4,37.565083,127.007645,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
423,충무로,충무로,4,37.561302,126.995473,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
