adm_cd,adm_nm,x,y,source_crs,reference_year
1112067,서울특별시 은평구 증산동,947549.0,1954021.0,EPSG:5179,2021
1112068,서울특별시 은평구 수색동,946545.0,1954196.0,EPSG:5179,2021
1112071,서울특별시 은평구 진관동,950412.0,1960171.0,EPSG:5179,2021
1112072,서울특별시 은평구 불광2동,949579.0,1958486.0,EPSG:5179,2021
1112073,서울특별시 은평구 응암3동,948582.0,1954542.0,EPSG:5179,2021
1112074,서울특별시 은평구 역촌동,948346.0,1956299.0,EPSG:5179,2021
1113052,서울특별시 서대문구 천연동,952011.0,1952577.0,EPSG:5179,2021
1113062,서울특별시 서대문구 홍제1동,950933.0,1954194.0,EPSG:5179,2021
1113064,서울특별시 서대문구 홍제3동,951604.0,1954923.0,EPSG:5179,2021
1113065,서울특별시 서대문구 홍제2동,951655.0,1954045.0,EPSG:5179,2021
1113066,서울특별시 서대문구 홍은1동,951179.0,1955918.0,EPSG:5179,2021
1113068,서울특별시 서대문구 홍은2동,949761.0,1954353.0,EPSG:5179,2021
1113069,서울특별시 서대문구 남가좌1동,948449.0,1952670.0,EPSG:5179,2021
1113070,서울특별시 서대문구 남가좌2동,948904.0,1953354.0,EPSG:5179,2021
1113071,서울특별시 서대문구 북가좌1동,947713.0,1953083.0,EPSG:5179,2021
1113072,서울특별시 서대문구 북가좌2동,948200.0,1953694.0,EPSG:5179,2021
1113073,서울특별시 서대문구 충현동,952145.0,1951853.0,EPSG:5179,2021
1113074,서울특별시 서대문구 북아현동,951906.0,1951343.0,EPSG:5179,2021
1113075,서울특별시 서대문구 신촌동,950686.0,1951772.0,EPSG:5179,2021
1113076,서울특별시 서대문구 연희동,949919.0,1952700.0,EPSG:5179,2021
1114059,서울특별시 마포구 용강동,950621.0,1949274.0,EPSG:5179,2021
1114060,서울특별시 마포구 대흥동,950661.0,1950454.0,EPSG:5179,2021
1114061,서울특별시 마포구 염리동,951197.0,1950209.0,EPSG:5179,2021
1114063,서울특별시 마포구 신수동,950072.0,1949739.0,EPSG:5179,2021
1114066,서울특별시 마포구 서교동,948866.0,1950772.0,EPSG:5179,2021
1114068,서울특별시 마포구 합정동,947805.0,1949904.0,EPSG:5179,2021
1114069,서울특별시 마포구 망원1동,946983.0,1950746.0,EPSG:5179,2021
1114070,서울특별시 마포구 망원2동,947030.0,1951340.0,EPSG:5179,2021
1114071,서울특별시 마포구 연남동,948910.0,1951680.0,EPSG:5179,2021
1114072,서울특별시 마포구 성산1동,948057.0,1951569.0,EPSG:5179,2021
1114073,서울특별시 마포구 성산2동,947183.0,1952282.0,EPSG:5179,2021
1114074,서울특별시 마포구 상암동,945241.0,1952555.0,EPSG:5179,2021
1114075,서울특별시 마포구 도화동,951235.0,1948953.0,EPSG:5179,2021
1114076,서울특별시 마포구 서강동,949206.0,1949864.0,EPSG:5179,2021
1114077,서울특별시 마포구 공덕동,952125.0,1950165.0,EPSG:5179,2021
1114078,서울특별시 마포구 아현동,951660.0,1950415.0,EPSG:5179,2021
